| Nome                              | Descrição                                                               | Preço (R\$) | Banda                    | Tipo               |
| --------------------------------- | ----------------------------------------------------------------------- | ----------- | ------------------------ | ------------------ |
| Caneca Mudvayne                   | Caneca oficial da banda Mudvayne. Item exclusivo para fãs.              | 45,23       | Mudvayne                 | Caneca             |
| Chaveiro Disturbed                | Chaveiro oficial da banda Disturbed. Item exclusivo para fãs.           | 83,35       | Disturbed                | Chaveiro           |
| Patch Orbit Culture               | Patch oficial da banda Orbit Culture. Item exclusivo para fãs.          | 99,70       | Orbit Culture            | Patch              |
| Poster Limp Bizkit                | Poster oficial da banda Limp Bizkit. Item exclusivo para fãs.           | 88,28       | Limp Bizkit              | Poster             |
| Relógio Black Sabbath             | Relógio oficial da banda Black Sabbath. Item exclusivo para fãs.        | 29,31       | Black Sabbath            | Relógio            |
| Miniatura Limp Bizkit             | Miniatura oficial da banda Limp Bizkit. Item exclusivo para fãs.        | 23,49       | Limp Bizkit              | Miniatura          |
| Adesivos Meshuggah                | Adesivos oficial da banda Meshuggah. Item exclusivo para fãs.           | 74,33       | Meshuggah                | Adesivos           |
| Almofada Marilyn Manson           | Almofada oficial da banda Marilyn Manson. Item exclusivo para fãs.      | 67,23       | Marilyn Manson           | Almofada           |
| Action Figure Nirvana             | Action Figure oficial da banda Nirvana. Item exclusivo para fãs.        | 41,05       | Nirvana                  | Action Figure      |
| Bandeira Mudvayne                 | Bandeira oficial da banda Mudvayne. Item exclusivo para fãs.            | 34,40       | Mudvayne                 | Bandeira           |
| Mochila Mudvayne                  | Mochila oficial da banda Mudvayne. Item exclusivo para fãs.             | 63,16       | Mudvayne                 | Mochila            |
| Pulseira Ghost                    | Pulseira oficial da banda Ghost. Item exclusivo para fãs.               | 59,37       | Ghost                    | Pulseira           |
| Palheta RATM                      | Palheta oficial da banda Rage Against the Machine. Item exclusivo.      | 77,70       | Rage Against the Machine | Palheta            |
| Touca Ghost                       | Touca oficial da banda Ghost. Item exclusivo para fãs.                  | 35,81       | Ghost                    | Touca              |
| Boné System of a Down             | Boné oficial da banda System of a Down. Item exclusivo para fãs.        | 81,09       | System of a Down         | Boné               |
| Ecobag Behemoth                   | Ecobag oficial da banda Behemoth. Item exclusivo para fãs.              | 81,23       | Behemoth                 | Ecobag             |
| Capa de celular Ghost             | Capa de celular oficial da banda Ghost. Item exclusivo para fãs.        | 73,21       | Ghost                    | Capa de celular    |
| Caderno Mudvayne                  | Caderno oficial da banda Mudvayne. Item exclusivo para fãs.             | 83,44       | Mudvayne                 | Caderno            |
| Bottom Ratos de Porão             | Bottom oficial da banda Ratos de Porão. Item exclusivo para fãs.        | 25,42       | Ratos de Porão           | Bottom             |
| Tábua de churrasco Korn           | Tábua de churrasco oficial da banda Korn. Item exclusivo para fãs.      | 40,50       | Korn                     | Tábua de churrasco |
| Capa de almofada Misfits          | Capa de almofada oficial da banda Misfits. Item exclusivo para fãs.     | 94,93       | Misfits                  | Capa de almofada   |
| Quadro decorativo Ratos de Porão  | Quadro decorativo oficial da banda Ratos de Porão. Item exclusivo.      | 85,74       | Ratos de Porão           | Quadro decorativo  |
| Caneca esmaltada RATM             | Caneca esmaltada oficial da banda Rage Against the Machine. Exclusiva.  | 21,01       | Rage Against the Machine | Caneca esmaltada   |
| Touca de inverno Ozzy Osbourne    | Touca de inverno oficial da banda Ozzy Osbourne. Item exclusivo.        | 33,23       | Ozzy Osbourne            | Touca de inverno   |
| Mousepad Mudvayne                 | Mousepad oficial da banda Mudvayne. Item exclusivo para fãs.            | 85,15       | Mudvayne                 | Mousepad           |
| Porta-copos Metallica             | Porta-copos oficial da banda Metallica. Item exclusivo para fãs.        | 21,96       | Metallica                | Porta-copos        |
| Carteira Alice Cooper             | Carteira oficial da banda Alice Cooper. Item exclusivo para fãs.        | 55,53       | Alice Cooper             | Carteira           |
| Pingente Orbit Culture            | Pingente oficial da banda Orbit Culture. Item exclusivo para fãs.       | 92,28       | Orbit Culture            | Pingente           |
| Bloco de anotações Ratos de Porão | Bloco oficial da banda Ratos de Porão. Perfeito para anotações diárias. | 45,07       | Ratos de Porão           | Bloco de anotações |
