| Nome                                       | Descrição                                                                                         | Preço (R\$) | Banda                    | Tipo  |
| ------------------------------------------ | ------------------------------------------------------------------------------------------------- | ----------- | ------------------------ | ----- |
| Justice for All: The Truth About Metallica | Livro sobre Metallica, trazendo histórias, bastidores e curiosidades. Essencial para fãs de rock. | 82,90       | Metallica                | Livro |
| My Plague – The Slipknot Story             | Biografia intensa sobre a trajetória explosiva do Slipknot. Um mergulho sombrio no nu-metal.      | 69,80       | Slipknot                 | Livro |
| Heavier Than Heaven                        | Um relato íntimo da vida de Kurt Cobain e o impacto do Nirvana no mundo da música.                | 74,90       | Nirvana                  | Livro |
| Confesso que Vivi... no Porão!             | Autobiografia irreverente de João Gordo e os bastidores do Ratos de Porão.                        | 59,90       | Ratos de Porão           | Livro |
| Korn: Life in the Pit                      | A história suada e visceral da banda Korn. Fúria e introspecção num só volume.                    | 69,50       | Korn                     | Livro |
| Lords of Chaos                             | Explora a cena black metal extrema, incluindo bandas como Behemoth. Não é para os fracos.         | 89,90       | Behemoth                 | Livro |
| Ozzy: Eu Sou Ozzy                          | A autobiografia sem filtro do Príncipe das Trevas. Insana, hilária e lendária.                    | 84,90       | Ozzy Osbourne            | Livro |
| Tony Iommi: Iron Man                       | O criador do heavy metal conta tudo: do Sabbath às tragédias pessoais.                            | 76,30       | Black Sabbath            | Livro |
| Walk This Way                              | A jornada caótica e triunfante do Aerosmith, direto das bocas dos membros.                        | 72,00       | Aerosmith                | Livro |
| Trent Reznor and the Downward Spiral       | Explora a mente de Reznor — com paralelos à estética de Marilyn Manson.                           | 63,20       | Marilyn Manson           | Livro |
| Not Dead and Not for Sale                  | Memórias do vocalista do STP — crossover com fãs de grunge e metal alternativo.                   | 58,90       | Nirvana                  | Livro |
| Sound of the Beast                         | História do heavy metal, com destaque para Metallica, Slayer, Sepultura e mais.                   | 94,00       | Sepultura                | Livro |
| Metallica: Back to the Front               | Crônica visual da era “Master of Puppets”, imperdível para colecionadores.                        | 92,40       | Metallica                | Livro |
| Ghost: The Satanic Pop Opera               | Uma análise não oficial da teatralidade e sucesso do Ghost.                                       | 69,90       | Ghost                    | Livro |
| Slipknot: Dysfunctional Family Portraits   | Fotografias e depoimentos de bastidores dos mascarados de Iowa.                                   | 79,50       | Slipknot                 | Livro |
| Behind the Paint                           | Autobiografia do Violent J — influência alternativa, próxima à estética de Manson.                | 61,00       | Marilyn Manson           | Livro |
| The Heroin Diaries                         | Nikki Sixx abre o diário dos anos mais sombrios. Impacto cruzado com Alice Cooper.                | 73,90       | Alice Cooper             | Livro |
| Festa Infernal                             | Histórias do underground brasileiro com Ratos de Porão e Sepultura.                               | 54,90       | Ratos de Porão           | Livro |
| The Dirt                                   | A história suja do Mötley Crüe — Alice Cooper incluso nessa loucura.                              | 84,00       | Alice Cooper             | Livro |
| Linkin Park: From the Inside               | Relato visual e emocional sobre a jornada da banda e de Chester Bennington.                       | 66,00       | Linkin Park              | Livro |
| Misfits: This Music Leaves Stains          | Livro definitivo sobre o impacto do Misfits no punk e no horror rock.                             | 62,90       | Misfits                  | Livro |
| I Am the Warlock                           | Contos e memórias de Alice Cooper em seu alter ego teatral.                                       | 58,00       | Alice Cooper             | Livro |
| RATM and the Art of Protest                | Análise política e musical da fúria sonora do Rage Against the Machine.                           | 74,40       | Rage Against the Machine | Livro |
| Murder in the Front Row                    | Narrativas e fotos da cena thrash — berço do Metallica.                                           | 89,90       | Metallica                | Livro |
| Behemoth: Devil’s Conquistadors            | Livro autorizado que destrincha a trajetória obscura da banda polonesa.                           | 98,00       | Behemoth                 | Livro |
| Limp Bizkit: Rock Revival                  | Biografia não oficial da banda que revolucionou o rap metal dos anos 2000.                        | 66,90       | Limp Bizkit              | Livro |
| Black Sabbath FAQ                          | Tudo o que você sempre quis saber sobre a banda que inventou o metal.                             | 84,20       | Black Sabbath            | Livro |
| Grunge Is Dead                             | História oral do grunge com foco em bandas como Nirvana, Alice in Chains e mais.                  | 74,70       | Nirvana                  | Livro |
| Orbit Culture: Beyond Melodic Death        | Livro especial sobre a ascensão do Orbit Culture.                                                 | 59,90       | Orbit Culture            | Livro |
| Meshuggah: Polyrhythmic Destruction        | Análise musical e filosófica do som técnico e brutal do Meshuggah.                                | 71,50       | Meshuggah                | Livro |
