| Nome                                | Descrição                                                                               | Preço (R\$) | Banda                    | Tipo  |
| ----------------------------------- | --------------------------------------------------------------------------------------- | ----------- | ------------------------ | ----- |
| Slipknot – Iowa (Deluxe Edition)    | Edição deluxe em vinil duplo com faixas bônus e encarte inédito.                        | 179,90      | Slipknot                 | Vinil |
| Meshuggah – ObZen                   | Vinil importado do álbum técnico e brutal que definiu o som da banda.                   | 199,90      | Meshuggah                | Vinil |
| Ghost – Meliora (Picture Disc)      | Vinil ilustrado de edição especial do álbum mais atmosférico do Ghost.                  | 189,00      | Ghost                    | Vinil |
| Linkin Park – Hybrid Theory         | Edição de 20 anos em vinil duplo com faixas raras e pôster exclusivo.                   | 189,90      | Linkin Park              | Vinil |
| Sepultura – Roots                   | Versão nacional colorida em vinil duplo do álbum que misturou metal e brasilidade.      | 154,90      | Sepultura                | Vinil |
| Marilyn Manson – Mechanical Animals | Vinil azul translúcido do disco mais ousado da carreira de Manson.                      | 169,90      | Marilyn Manson           | Vinil |
| Behemoth – The Satanist             | Edição gatefold com encarte especial em vinil de alta gramatura.                        | 184,00      | Behemoth                 | Vinil |
| Ozzy Osbourne – Blizzard of Ozz     | Vinil reeditado com qualidade sonora superior do álbum solo de estreia de Ozzy.         | 165,00      | Ozzy Osbourne            | Vinil |
| System of a Down – Toxicity         | Álbum aclamado da banda em vinil 180g, com encarte ilustrado.                           | 179,90      | System of a Down         | Vinil |
| Motörhead – Ace of Spades           | Edição especial com capa dupla e encarte com fotos raras.                               | 174,90      | Motörhead                | Vinil |
| Nirvana – In Utero (30 Anos)        | Edição comemorativa com remix exclusivo e material inédito.                             | 199,90      | Nirvana                  | Vinil |
| Aerosmith – Toys in the Attic       | Remasterizado em vinil pesado com som analógico puro.                                   | 154,00      | Aerosmith                | Vinil |
| RATM – Rage Against the Machine     | Vinil vermelho translúcido da estreia incendiária da banda.                             | 182,00      | Rage Against the Machine | Vinil |
| Misfits – Collection I              | Compilado em vinil preto com encarte cheio de arte clássica da banda.                   | 145,00      | Misfits                  | Vinil |
| Black Sabbath – Paranoid            | Picture disc em edição limitada de um dos álbuns mais importantes da história do metal. | 195,00      | Black Sabbath            | Vinil |
| Alice Cooper – Welcome to Nightmare | Edição comemorativa com encarte e pôster do show clássico.                              | 162,90      | Alice Cooper             | Vinil |
| Ghost – Prequelle (Dourado)         | Vinil metálico dourado em edição limitada e numerada.                                   | 199,90      | Ghost                    | Vinil |
| Meshuggah – Chaosphere              | Relançamento em vinil 180g com nova masterização.                                       | 179,00      | Meshuggah                | Vinil |
| Ozzy Osbourne – Patient Number 9    | Vinil duplo do último álbum com convidados como Zakk Wylde e Jeff Beck.                 | 195,00      | Ozzy Osbourne            | Vinil |
| Slipknot – The End, So Far          | Lançamento mais recente da banda em vinil laranja flamejante.                           | 199,00      | Slipknot                 | Vinil |
| Korn – Requiem                      | Edição especial do novo álbum com encarte 3D e vinil branco.                            | 169,90      | Korn                     | Vinil |
| Linkin Park – One More Light Live   | Vinil ao vivo com registros dos últimos shows de Chester Bennington.                    | 189,00      | Linkin Park              | Vinil |
